Cluster,Age,k,N,Nsys,Z,bin_frac,Mc,Mdot,Lw,SNe,WR,WR2
UBC_652,18.09,14753.7,2180,218,0.0142,0.3,1210.0,1.38e-07,1.56e+28,0,0,0
UBC_659,27.5,23522.2,3475,348,0.0142,0.3,1942.5,4.53e-08,2.41e+32,25,0,0
UPK_126,13.5,5620.0,830,83,0.0142,0.3,518.5,1.51e-09,4.26e+30,10,0,0
UPK_150,29.85,6079.5,898,90,0.0142,0.3,467.5,6.75e-10,2.77e+25,5,0,0
UPK_166,26.9,11742.1,1735,174,0.0142,0.3,914.0,4.73e-10,4.72e+30,10,0,0
UPK_169,13.8,9961.1,1472,147,0.0074,0.65,848.5,1.01e-09,2.86e+30,10,5,0
UPK_38,14.5,2465.8,364,36,0.0128,0.675,150.0,7.00e-11,2.90e+24,0,0,0
UPK_385,11.7,1528.7,226,23,0.0221,0.5283,57.0,0.00e+00,0.00e+00,0,0,0
UPK_398,11.68,2266.8,335,34,0.0142,0.3,240.0,5.75e-09,9.85e+26,0,0,0
UPK_402,7.2,1031.1,152,15,0.0142,0.3,49.5,5.80e-12,2.20e+23,0,0,0
UPK_422,19.5,2926.9,432,43,0.0142,0.3,178.0,3.00e-11,1.17e+24,0,0,0
UPK_436,25.7,6496.1,960,96,0.0141,0.68844,522.5,5.15e-10,2.08e+25,0,0,0
UPK_445,12.9,3924.9,580,58,0.0089,0.55385,307.0,2.19e-10,9.35e+24,0,0,0
UPK_599,19.5,4314.9,637,64,0.0142,0.3,362.0,1.01e-10,3.86e+24,5,5,0
UPK_607,15.5,6631.7,980,98,0.0142,0.3,351.0,3.22e-12,1.13e+23,0,0,0
UPK_640,25.1,10811.3,1597,160,0.0198,0.31059,676.0,8.15e-08,8.50e+32,15,0,0
Waterloo_1,19.62,109738.2,16213,1621,0.0142,0.3,9385.5,6.55e-06,1.69e+34,45,30,5
vdBergh_80,6.5,7767.1,1148,115,0.0126,0.71552,1424.0,7.55e-09,1.02e+27,0,0,0
vdBergh_92,7.8,25047.7,3701,370,0.0119,0.51786,2474.5,1.01e-05,2.11e+34,10,10,5
