Cluster,Age,k,N,Nsys,Z,bin_frac,Mc,Mdot,Lw,SNe,WR,WR2
DBSB_101,11.2,4624.7,683,68,0.0142,0.3,351.5,7.80e-06,1.39e+27,0,0,0
DBSB_104,26.9,1047.6,155,16,0.0142,0.3,104.0,4.12e-12,1.42e+23,0,0,0
DBSB_21,9.5,1766.8,261,26,0.0142,0.3,99.0,2.20e-12,4.04e+22,0,0,0
DBSB_3,3.8,4550.7,672,67,0.0142,0.3,559.5,1.63e-12,3.46e+22,0,0,0
DBSB_43,24.5,3769.1,557,56,0.0142,0.3,343.5,3.48e-08,2.66e+27,0,0,0
DBSB_60,5.6,3521.3,520,52,0.0142,0.3,285.5,1.99e-11,7.20e+23,0,0,0
DC_5,1.1,23961.6,3540,354,0.0142,0.3,1859.5,1.16e-06,3.12e+29,0,0,0
Danks_1,1.0,54214.2,8010,801,0.0142,0.3,4461.0,6.80e-07,1.77e+29,0,0,0
Danks_2,2.0,96204.2,14213,1421,0.0142,0.3,8764.5,5.05e-06,1.22e+30,0,0,0
Dias_5,9.5,4113.7,608,61,0.0165,0.51246,408.5,1.79e-07,1.86e+28,0,0,0
Dolidze_11,22.4,4526.3,669,67,0.0142,0.3,287.0,9.25e-12,2.15e+23,0,0,0
Dolidze_16,16.6,3072.6,454,45,0.0142,0.3,169.5,2.87e-12,6.45e+22,0,0,0
Dolidze_3,8.9,1918.9,284,28,0.0145,0.68033,130.5,4.20e-11,1.75e+24,0,0,0
Dolidze_53,6.9,2757.3,407,41,0.0142,0.3,279.5,6.65e-08,1.18e+28,0,0,0
Dolidze_8,15.5,1192.1,176,18,0.0142,0.3,81.5,2.00e-12,3.89e+22,0,0,0
FSR_0158,10.2,2174.1,321,32,0.0142,0.3,203.5,1.33e-09,7.40e+25,0,0,0
FSR_0165,15.5,14775.7,2183,218,0.0142,0.3,1233.5,9.40e-10,2.67e+30,10,0,0
FSR_0198,4.7,6082.4,899,90,0.018,0.67969,428.0,8.75e-10,6.00e+25,0,0,0
FSR_0398,18.2,3034.3,448,45,0.0127,0.73684,251.5,4.40e-10,1.90e+25,0,0,0
FSR_0451,13.5,17251.4,2549,255,0.0142,0.3,1289.5,8.70e-09,8.10e+26,0,0,0
FSR_0534,25.7,8354.1,1234,123,0.0142,0.3,765.0,5.80e-09,3.43e+26,0,0,0
FSR_0551,13.5,2878.7,425,42,0.0123,0.66102,233.0,2.96e-10,1.27e+25,0,0,0
FSR_0826,4.6,3215.7,475,48,0.0142,0.3,218.0,1.47e-11,5.80e+23,0,0,0
FSR_0833,16.6,3279.8,485,48,0.0142,0.3,198.0,2.65e-12,4.34e+22,0,0,0
FSR_0904,21.9,7500.7,1108,111,0.0114,0.47581,714.5,2.78e-07,1.17e+28,0,0,0
FSR_1117,15.5,767.4,113,11,0.0142,0.3,54.0,0.00e+00,0.00e+00,0,0,0
FSR_1297,5.0,2136.4,316,32,0.0142,0.3,316.0,2.06e-09,3.96e+26,0,0,0
FSR_1335,11.2,2185.0,323,32,0.0142,0.3,150.5,7.85e-11,3.33e+24,0,0,0
FSR_1342,25.7,9377.4,1385,138,0.0101,0.61143,857.0,8.60e-09,2.43e+31,10,5,0
FSR_1352,3.5,2115.6,313,31,0.0142,0.3,129.0,2.14e-11,8.75e+23,0,0,0
FSR_1435,1.0,5451.6,805,80,0.0142,0.3,514.5,1.73e-08,3.95e+27,0,0,0
Graham_1,15.5,3708.6,548,55,0.0142,0.3,272.0,4.22e-09,5.55e+26,0,0,0
Gulliver_10,9.3,1211.8,179,18,0.0142,0.3,70.5,0.00e+00,0.00e+00,0,0,0
Gulliver_2,6.6,3222.2,476,48,0.0142,0.3,351.5,2.72e-07,4.31e+28,0,0,0
Gulliver_29,10.7,21921.7,3239,324,0.0142,0.3,1633.0,1.14e-08,3.25e+31,10,10,5
Gulliver_46,11.7,9695.9,1432,143,0.0142,0.3,774.0,7.70e-09,8.50e+26,0,0,0
Gulliver_48,18.2,9178.5,1356,136,0.0142,0.3,919.0,7.90e-09,9.85e+26,10,0,0
Gulliver_6,16.6,5027.1,743,74,0.0131,0.35657,396.5,7.80e-11,2.21e+29,10,10,5
Gulliver_8,21.4,1534.7,227,23,0.0135,0.66667,138.0,4.28e-11,1.61e+24,0,0,0
Gulliver_9,17.8,3956.0,584,58,0.0142,0.3,237.5,1.23e-11,3.09e+23,0,0,0
Haffner_13,20.4,3350.8,495,50,0.0125,0.39305,253.0,4.57e-12,1.12e+23,0,0,0
Haffner_15,25.7,18158.1,2683,268,0.0142,0.3,1366.5,5.15e-10,2.06e+25,20,20,0
Haffner_18,14.1,9880.4,1460,146,0.0142,0.3,889.0,9.65e-09,1.24e+27,0,0,0
Havlen_Moffat_1,8.9,9054.4,1338,134,0.0142,0.3,634.0,8.40e-10,4.17e+25,0,0,0
Hogg_10,6.1,1768.8,261,26,0.0142,0.3,139.5,4.65e-10,2.17e+25,0,0,0
Hogg_15,2.2,13784.9,2037,204,0.0142,0.3,1188.5,1.21e-08,2.19e+27,0,0,0
Hogg_19,18.6,4786.4,707,71,0.0142,0.3,313.0,2.79e-10,1.17e+25,0,0,0
